post_hoc,harness,model,version,panel,contrast,metric,n_families,difference_pp,p_sign_flip,nonzero_families,loo_min_pp,loo_max_pp,eligible_families
True,MiniSWE,Devstral,revised,all_13,B-C,U,12,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_X06,B-C,F,11,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_X06,B-C,S,11,0.0,1.0,2,-5.0,5.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_X06,B-C,U,11,0.0,1.0,2,-5.0,5.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,without_X06,B-C,F,11,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,without_X06,B-C,S,11,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,without_X06,B-C,U,11,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_reviewed_families,B-C,F,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,original,without_reviewed_families,B-C,S,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,original,without_reviewed_families,B-C,U,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,revised,without_reviewed_families,B-C,F,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,revised,without_reviewed_families,B-C,S,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,revised,without_reviewed_families,B-C,U,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,original,all_13,C-N,F,11,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24
True,Codex,GPT55,original,all_13,C-N,S,11,-9.090909090909092,0.8125,5,-20.0,0.0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24
True,Codex,GPT55,original,all_13,C-N,U,11,9.090909090909092,0.8125,5,0.0,20.0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24
True,Codex,GPT55,revised,all_13,C-N,F,11,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24
True,Codex,GPT55,revised,all_13,C-N,S,11,-9.090909090909092,0.8125,5,-20.0,0.0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24
True,Codex,GPT55,revised,all_13,C-N,U,11,9.090909090909092,0.8125,5,0.0,20.0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24
True,Codex,GPT55,original,without_X06,C-N,F,10,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24
True,Codex,GPT55,original,without_X06,C-N,S,10,0.0,1.0,4,-11.11111111111111,11.11111111111111,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24
True,Codex,GPT55,original,without_X06,C-N,U,10,0.0,1.0,4,-11.11111111111111,11.11111111111111,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24
True,Codex,GPT55,revised,without_X06,C-N,F,10,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24
True,Codex,GPT55,revised,without_X06,C-N,S,10,0.0,1.0,4,-11.11111111111111,11.11111111111111,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24
True,Codex,GPT55,revised,without_X06,C-N,U,10,0.0,1.0,4,-11.11111111111111,11.11111111111111,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24
True,Codex,GPT55,original,without_reviewed_families,C-N,F,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,original,without_reviewed_families,C-N,S,9,0.0,1.0,4,-12.5,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,original,without_reviewed_families,C-N,U,9,0.0,1.0,4,-12.5,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,revised,without_reviewed_families,C-N,F,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,revised,without_reviewed_families,C-N,S,9,0.0,1.0,4,-12.5,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,revised,without_reviewed_families,C-N,U,9,0.0,1.0,4,-12.5,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,Codex,GPT55,original,all_13,B-C,F,10,0,1.0,0,0,0,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24
True,Codex,GPT55,original,all_13,B-C,S,10,30.0,0.125,4,22.22222222222222,33.33333333333333,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24
True,Codex,GPT55,original,all_13,B-C,U,10,-30.0,0.125,4,-33.33333333333333,-22.22222222222222,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24
True,Codex,GPT55,revised,all_13,B-C,F,10,0,1.0,0,0,0,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24
True,Codex,GPT55,revised,all_13,B-C,S,10,30.0,0.125,4,22.22222222222222,33.33333333333333,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24
True,Codex,GPT55,revised,all_13,B-C,U,10,-30.0,0.125,4,-33.33333333333333,-22.22222222222222,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24
True,Codex,GPT55,original,without_X06,B-C,F,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;X05;X11;X20;X24
True,Codex,GPT55,original,without_X06,B-C,S,9,22.22222222222222,0.25,3,12.5,25.0,F01;F02;F04;F08;F17;X05;X11;X20;X24
True,Codex,GPT55,original,without_X06,B-C,U,9,-22.22222222222222,0.25,3,-25.0,-12.5,F01;F02;F04;F08;F17;X05;X11;X20;X24
True,Codex,GPT55,revised,without_X06,B-C,F,9,0,1.0,0,0,0,F01;F02;F04;F08;F17;X05;X11;X20;X24
True,Codex,GPT55,revised,without_X06,B-C,S,9,22.22222222222222,0.25,3,12.5,25.0,F01;F02;F04;F08;F17;X05;X11;X20;X24
True,Codex,GPT55,revised,without_X06,B-C,U,9,-22.22222222222222,0.25,3,-25.0,-12.5,F01;F02;F04;F08;F17;X05;X11;X20;X24
True,Codex,GPT55,original,without_reviewed_families,B-C,F,8,0,1.0,0,0,0,F01;F02;F04;F08;F17;X11;X20;X24
True,Codex,GPT55,original,without_reviewed_families,B-C,S,8,25.0,0.25,3,14.285714285714285,28.57142857142857,F01;F02;F04;F08;F17;X11;X20;X24
True,Codex,GPT55,original,without_reviewed_families,B-C,U,8,-25.0,0.25,3,-28.57142857142857,-14.285714285714285,F01;F02;F04;F08;F17;X11;X20;X24
True,Codex,GPT55,revised,without_reviewed_families,B-C,F,8,0,1.0,0,0,0,F01;F02;F04;F08;F17;X11;X20;X24
True,Codex,GPT55,revised,without_reviewed_families,B-C,S,8,25.0,0.25,3,14.285714285714285,28.57142857142857,F01;F02;F04;F08;F17;X11;X20;X24
True,Codex,GPT55,revised,without_reviewed_families,B-C,U,8,-25.0,0.25,3,-28.57142857142857,-14.285714285714285,F01;F02;F04;F08;F17;X11;X20;X24
True,Codex,Luna,original,all_13,C-N,F,11,-9.090909090909092,0.75,5,-15.0,0.0,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24
True,Codex,Luna,original,all_13,C-N,S,11,-9.090909090909092,0.75,3,-15.0,0.0,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24
True,Codex,Luna,original,all_13,C-N,U,11,13.636363636363635,0.5,2,5.0,15.0,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24
True,Codex,Luna,revised,all_13,C-N,F,11,-9.090909090909092,0.75,5,-15.0,0.0,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24
True,Codex,Luna,revised,all_13,C-N,S,11,-9.090909090909092,0.75,3,-15.0,0.0,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24
True,Codex,Luna,revised,all_13,C-N,U,11,13.636363636363635,0.5,2,5.0,15.0,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24
True,Codex,Luna,original,without_X06,C-N,F,10,0.0,1.0,4,-5.555555555555555,5.555555555555555,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24
True,Codex,Luna,original,without_X06,C-N,S,10,-10.0,0.75,3,-16.666666666666664,0.0,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24
True,Codex,Luna,original,without_X06,C-N,U,10,15.0,0.5,2,5.555555555555555,16.666666666666664,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24
True,Codex,Luna,revised,without_X06,C-N,F,10,0.0,1.0,4,-5.555555555555555,5.555555555555555,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24
True,Codex,Luna,revised,without_X06,C-N,S,10,-10.0,0.75,3,-16.666666666666664,0.0,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24
