run_id,model,max_tokens,context_limit,temperature,top_p,top_k,native_tool_calls,step_limit,wall_time_limit_seconds
782c237ce2c7a023d5e2033a,QwenNext,512,32768,1.0,0.95,40,True,30,900
7851aa89f3b4feb8b1defb45,QwenNext,512,32768,1.0,0.95,40,True,30,900
7d185c6d7a63f51ebc66f56d,QwenNext,512,32768,1.0,0.95,40,True,30,900
7d74824f43f9f6a90ba3378b,QwenNext,512,32768,1.0,0.95,40,True,30,900
7f80d0374419b1b0660d8146,QwenNext,512,32768,1.0,0.95,40,True,30,900
8121536f2e77a4e25a7cbe2c,QwenNext,512,32768,1.0,0.95,40,True,30,900
87ca3fceab71751263547eb7,QwenNext,512,32768,1.0,0.95,40,True,30,900
88f658f45f857aacaa158a08,QwenNext,512,32768,1.0,0.95,40,True,30,900
89fd584e34996034cfcde687,QwenNext,512,32768,1.0,0.95,40,True,30,900
8a76b44f2a37bcd59adb9d73,QwenNext,512,32768,1.0,0.95,40,True,30,900
8c2f7aa6059ee987c396c9b2,QwenNext,512,32768,1.0,0.95,40,True,30,900
9109b15085f076175770461c,QwenNext,512,32768,1.0,0.95,40,True,30,900
91dbfb9c629e326be654c746,QwenNext,512,32768,1.0,0.95,40,True,30,900
9280475d8efbf19e65b80605,QwenNext,512,32768,1.0,0.95,40,True,30,900
95143ec13496823429646480,QwenNext,512,32768,1.0,0.95,40,True,30,900
9570d6bedf4f9ea75acf2284,QwenNext,512,32768,1.0,0.95,40,True,30,900
9b3b52a5272a5a4013cb2506,QwenNext,512,32768,1.0,0.95,40,True,30,900
9bf1ac2071f815168310cca9,QwenNext,512,32768,1.0,0.95,40,True,30,900
a05a21dcd839a1476e58270f,QwenNext,512,32768,1.0,0.95,40,True,30,900
a34fc2b309f4df92e0e123a6,QwenNext,512,32768,1.0,0.95,40,True,30,900
a39564cbd27af324f56c215b,QwenNext,512,32768,1.0,0.95,40,True,30,900
a446b5388afc8b523c007a48,QwenNext,512,32768,1.0,0.95,40,True,30,900
aa0b1ea8c96a03721332196d,QwenNext,512,32768,1.0,0.95,40,True,30,900
aa515545b1a06b3e7e139494,QwenNext,512,32768,1.0,0.95,40,True,30,900
ab449c4bfe5cc002764329c9,QwenNext,512,32768,1.0,0.95,40,True,30,900
aeaef17cd4cadbe71eedf423,QwenNext,512,32768,1.0,0.95,40,True,30,900
b501f51678ecf80ca9355086,QwenNext,512,32768,1.0,0.95,40,True,30,900
c763215aa47a8a9332b837c6,QwenNext,512,32768,1.0,0.95,40,True,30,900
c82a54b725cfa58b08a01a2c,QwenNext,512,32768,1.0,0.95,40,True,30,900
c8d6e945e017b06e3a9ecd48,QwenNext,512,32768,1.0,0.95,40,True,30,900
cab377ba001db070d155b17d,QwenNext,512,32768,1.0,0.95,40,True,30,900
ce2721e702acf01f7db7ddf2,QwenNext,512,32768,1.0,0.95,40,True,30,900
d05f5299bf0f2a26a0b84211,QwenNext,512,32768,1.0,0.95,40,True,30,900
d1f5a4e057f3c1fb3c501ddd,QwenNext,512,32768,1.0,0.95,40,True,30,900
d7859f9cda50e72c0c15fd26,QwenNext,512,32768,1.0,0.95,40,True,30,900
d7d2d2fcffd90dd6d2de7f78,QwenNext,512,32768,1.0,0.95,40,True,30,900
d842013ce29b69a43af2a2e9,QwenNext,512,32768,1.0,0.95,40,True,30,900
df1da671979986bd16000415,QwenNext,512,32768,1.0,0.95,40,True,30,900
e066f6216859f4ea01a27e31,QwenNext,512,32768,1.0,0.95,40,True,30,900
e25c9c0ec6b1c7b00f7b5be4,QwenNext,512,32768,1.0,0.95,40,True,30,900
e451878f20564feca7c92494,QwenNext,512,32768,1.0,0.95,40,True,30,900
e7a9c4ff37f045a130304194,QwenNext,512,32768,1.0,0.95,40,True,30,900
e82feb29bc3601894e0f9424,QwenNext,512,32768,1.0,0.95,40,True,30,900
e89457cb6da9713d3eef5ccd,QwenNext,512,32768,1.0,0.95,40,True,30,900
e8b34f13a6f9b28579f730d5,QwenNext,512,32768,1.0,0.95,40,True,30,900
eabeec11f9f9b17b85aab7ac,QwenNext,512,32768,1.0,0.95,40,True,30,900
eb7edecc90078c8e6b4d0f63,QwenNext,512,32768,1.0,0.95,40,True,30,900
ec63137bfe9156daa65a26b7,QwenNext,512,32768,1.0,0.95,40,True,30,900
f0ab57741fe9d2396d7f4037,QwenNext,512,32768,1.0,0.95,40,True,30,900
f1efcbc5e38fa0a750bb6fbb,QwenNext,512,32768,1.0,0.95,40,True,30,900
f448ba9af0c7e87951541371,QwenNext,512,32768,1.0,0.95,40,True,30,900
fa927ec958bfe4563b23255e,QwenNext,512,32768,1.0,0.95,40,True,30,900
fb347842662f449a7619327d,QwenNext,512,32768,1.0,0.95,40,True,30,900
fddc499b20fd9cf814fb4c1c,QwenNext,512,32768,1.0,0.95,40,True,30,900
020da92453ff8d7c92967213,Devstral,512,32768,0.15,,,True,30,900
05046d98dac8e25a71c32290,Devstral,512,32768,0.15,,,True,30,900
0578ed18fb0d4e8d6c38d869,Devstral,512,32768,0.15,,,True,30,900
05a1fae4eb72c2c6e9372b30,Devstral,512,32768,0.15,,,True,30,900
072ed1f99285f19ae1138a57,Devstral,512,32768,0.15,,,True,30,900
0793342d6460d65fe19bc685,Devstral,512,32768,0.15,,,True,30,900
079d325cdb24fed02c9e5bc5,Devstral,512,32768,0.15,,,True,30,900
0b08e0d0b4721dd7d54039c9,Devstral,512,32768,0.15,,,True,30,900
0d9caece4bc62907d7240c71,Devstral,512,32768,0.15,,,True,30,900
1193d1c90499107ae20f0561,Devstral,512,32768,0.15,,,True,30,900
119ea8db96db45906e739d2f,Devstral,512,32768,0.15,,,True,30,900
129375397480e923c306267a,Devstral,512,32768,0.15,,,True,30,900
1bdf8da180738810d226eb0c,Devstral,512,32768,0.15,,,True,30,900
21993d7ab928a905296cd22c,Devstral,512,32768,0.15,,,True,30,900
229d4e0482e4fb3caf84f0b5,Devstral,512,32768,0.15,,,True,30,900
22d9e5708b4d20491fa51e29,Devstral,512,32768,0.15,,,True,30,900
294eaaa43678cffa485bb38a,Devstral,512,32768,0.15,,,True,30,900
29b3ab9ba39107e9f75996d5,Devstral,512,32768,0.15,,,True,30,900
2badcfb6ea4b49808ecd607d,Devstral,512,32768,0.15,,,True,30,900
2d8afc94435e0280c3192dd9,Devstral,512,32768,0.15,,,True,30,900
2e512840e06eaa1d5894d658,Devstral,512,32768,0.15,,,True,30,900
33c518a55a5bcca5aa39a111,Devstral,512,32768,0.15,,,True,30,900
33fdd180369a00fad0a69ee7,Devstral,512,32768,0.15,,,True,30,900
35216375c7cf2d295cfee9b4,Devstral,512,32768,0.15,,,True,30,900
38def9b56f6ffc8020f6a071,Devstral,512,32768,0.15,,,True,30,900
3aec7636e468248a1c5bf575,Devstral,512,32768,0.15,,,True,30,900
3d79c97387d13255b6f6049a,Devstral,512,32768,0.15,,,True,30,900
401f4b588b2b2df37ffe0143,Devstral,512,32768,0.15,,,True,30,900
42382135044a5cde9aa382e1,Devstral,512,32768,0.15,,,True,30,900
42bcacfb778b9ef60a12a46a,Devstral,512,32768,0.15,,,True,30,900
442bea59b7b7357af1b3908f,Devstral,512,32768,0.15,,,True,30,900
44d35e6dd5d4857400589b31,Devstral,512,32768,0.15,,,True,30,900
4776ed9544b216dd41b5b295,Devstral,512,32768,0.15,,,True,30,900
4a0a487ca306c4087d8d5e89,Devstral,512,32768,0.15,,,True,30,900
4e95edababbd5ea6c7656110,Devstral,512,32768,0.15,,,True,30,900
