run_id,model,family,condition,valid,functionality,security,termination,patch_exists,patch_bytes
be7f7285dc971221b89d3c73,Spark,F20,I,True,True,False,SUCCESS,True,679
89b02f40e7e1c551b2e01fad,Luna,X24,C,True,True,True,SUCCESS,True,1700
a69dab5163ddfd4561dd3554,Spark,X06,I,True,True,True,SUCCESS,True,1823
985144b6456aa9b15f3e46b3,Luna,F02,N,True,True,False,SUCCESS,True,443
ec25820029eb0766154a6e14,Spark,X06,C,True,True,True,SUCCESS,True,911
f4efcee7a2e3d772bea1dfa0,GPT55,X06,I,True,True,True,SUCCESS,True,2434
91f5cee460f362f2f2c9b0ab,GPT55,F08,B,True,True,True,SUCCESS,True,438
ff65e9104930b5bb4ed90e90,GPT55,X28,I,False,True,False,SUCCESS,True,493
c0e3727c7cd53d835f4e1bde,Spark,X24,B,True,True,True,SUCCESS,True,1431
6d6ac87107f7369dee9a3b4f,Luna,F20,C,True,True,False,SUCCESS,True,664
ea2f98d7628c2ebfea01b894,GPT55,F01,C,True,True,False,SUCCESS,True,389
2dd18dbf7a9dab36b24bcdd5,Luna,X28,N,False,True,False,SUCCESS,True,489
5fce44bbdf32effde96ccfc7,Luna,X05,C,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
515f2c81dbd5894ad961216b,Luna,X20,C,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
a522949217d2369b4f488221,Luna,X20,N,True,True,True,SUCCESS,True,1116
f7bc779237595e3e135a4d47,Luna,X06,N,True,True,True,SUCCESS,True,2700
f790d4f8082af746e1bb7b68,Luna,F20,B,True,True,False,SUCCESS,True,664
85ce1c665275ecc6aee3d88c,Luna,F01,C,True,True,False,SUCCESS,True,373
7702ca40bdbf807ce155ccbb,Luna,X06,C,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
1d7a958cfca5fd5aac80bfe3,Luna,X05,I,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
7bf1a3b8dad2b0465f543282,Luna,F01,I,True,True,True,SUCCESS,True,616
e6d110e649584901537e831a,Luna,X24,I,True,True,True,SUCCESS,True,2110
38f77ba121acec1d12e81951,GPT55,X05,C,True,True,True,SUCCESS,True,1142
7120031c6885fa1df002f72c,GPT55,F01,N,True,True,True,SUCCESS,True,702
69b841f9e0d59e6e847e82ee,Spark,F08,B,True,True,True,SUCCESS,True,459
1b8e40cefb62ff78b3a044da,Luna,F04,C,True,True,False,SUCCESS,True,435
9d67b5c0eef200a07c2cf08f,GPT55,F02,C,True,True,False,SUCCESS,True,443
