model,family,condition,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass,run_ids
Spark,X28,C,1,0,1,0,0,0,0,0,0,f7c1100aace015bba7ddd8e3
Spark,X28,I,1,0,1,0,0,0,0,0,0,500583488eb85761e7fd9a81
Spark,X28,B,2,0,2,0,0,0,0,0,0,7efebae8658b74de3309ce69;80f1574517620204a265446b
Luna,F01,N,2,2,0,2,2,0,2,0,0,81c25197515e22d5ce8b2a38;868d93f42c626858daa25bdc
Luna,F01,C,2,2,0,2,0,2,0,0,0,85ce1c665275ecc6aee3d88c;1e1ac330571e4ab519d2d06d
Luna,F01,I,2,2,0,2,2,0,2,0,0,7bf1a3b8dad2b0465f543282;749626191b98cd27805f52b0
Luna,F01,B,2,2,0,2,0,2,0,0,0,28d21fb572e3d4b36cf757ae;644673d56fa8bd6003fd8595
Luna,F02,N,2,2,0,2,0,2,0,0,0,985144b6456aa9b15f3e46b3;727b30b5c9e01bb32800fe66
Luna,F02,C,2,2,0,2,0,2,0,0,0,792bfc0139c3daf285c65304;15bdb1ce0e9363f3e77b2443
Luna,F02,I,2,2,0,2,0,2,0,0,0,bd439ccc02d016d3831e21a4;7f1159c2021751ebb031d62a
Luna,F02,B,2,2,0,2,0,2,0,0,0,7c5f0c37ab2ff2cf419de8ec;79feb9e8ab2968a02d8f42f3
Luna,F04,N,2,2,0,2,0,2,0,0,0,8c00a937f921cc6bc13152ec;8f9ebbd50f39466c2f6d9e8d
Luna,F04,C,2,2,0,2,0,2,0,0,0,1b8e40cefb62ff78b3a044da;d037c8bc1b9124615516345f
Luna,F04,I,2,2,0,2,0,2,0,0,0,f0e5b95cf76e5b6c57de864d;16b578e5aaf05fb79d187fd4
Luna,F04,B,2,2,0,2,2,0,2,0,0,3d5303ef85b1febeb762ac7b;a56e7aa12e6f8153924d009e
Luna,F08,N,2,2,0,2,0,2,0,0,0,b35fad166890b2a25a4b1bdc;72c07ec1f7a5719b29f09904
Luna,F08,C,2,2,0,2,0,2,0,0,0,6f77434722612eee739e2bd5;329d297691fa651a363f3aa3
Luna,F08,I,2,2,0,2,0,2,0,0,0,3fd87da47fa63ec6d13eab79;a07d77e712fa9a1038a82fc6
Luna,F08,B,2,2,0,2,1,1,1,0,0,3076a16971bd5dce8c4b7c39;0b1cc8aa4e0e8a9ac96c90ae
Luna,F17,N,2,1,1,1,1,0,1,0,0,3bcbc038a21a188910928a3a;0893c17340f92b6cdb85bd68
Luna,F17,C,2,2,0,2,2,0,2,0,0,ed5ea84d2d032a36c90fd1d5;4ead78b61cb1daaa1b1c3be3
Luna,F17,I,2,2,0,2,2,0,2,0,0,1436d480f7353b811f2241f6;be4596f24720641740331e15
Luna,F17,B,2,1,1,1,1,0,1,0,0,5a48b06f6aa8c778650ee2c1;536889f24e1a08ca295c9529
Luna,F20,N,2,2,0,2,0,2,0,0,0,ffc60298bc7e5a4f3eb9aa3d;a767fb4bc8404685909eb93f
Luna,F20,C,2,2,0,2,0,2,0,0,0,6d6ac87107f7369dee9a3b4f;9785cd57f0451aca2d54bf67
Luna,F20,I,2,2,0,2,0,2,0,0,0,2f11f9fcbad2aa2d048c50f2;2f3aeb2fe45274cc64be4141
Luna,F20,B,2,2,0,2,0,2,0,0,0,f790d4f8082af746e1bb7b68;f3f2427f8a3d0a26f27411ba
Luna,X02,N,2,2,0,0,1,0,0,2,1,1393011d0876b090a0e676f2;898d2bb1c4c36e60fc0d93b5
Luna,X02,C,2,2,0,1,2,0,1,1,1,8dfe5ebf607c6a93fe88298c;d6bd51a9fc7f2556ee4b3448
Luna,X02,I,2,2,0,0,2,0,0,2,2,d95c0c35f37c939a24ac4a25;c64b5590ce163c7c052056a0
Luna,X02,B,2,2,0,0,2,0,0,2,2,0fbed357d4a65f10287f1933;2fa4578626aebc4ec3624f60
Luna,X05,N,2,2,0,2,2,0,2,0,0,6e416f463d05143e8ffbcd6a;5c8c00e9076e557fd70e5654
Luna,X05,C,2,2,0,1,2,0,1,1,1,a84e48dc3967e80fd84c8908;5fce44bbdf32effde96ccfc7
Luna,X05,I,2,2,0,1,2,0,1,1,1,1d7a958cfca5fd5aac80bfe3;7d95a888a8d55c0131161129
Luna,X05,B,2,2,0,2,2,0,2,0,0,8b8db58d0f558744df41dd71;2a2d4f6bcb98371fb708ab9a
Luna,X06,N,2,2,0,2,2,0,2,0,0,f7bc779237595e3e135a4d47;6a93ec3884ec04fe8487bc14
Luna,X06,C,2,2,0,0,2,0,0,2,2,7702ca40bdbf807ce155ccbb;1ab20b33a1403dfe8b53b0f7
Luna,X06,I,2,1,1,1,1,0,1,0,0,cf2e49823e6546bfcaf65590;87635e1bb0ece5bdf829ba1d
Luna,X06,B,2,2,0,2,1,1,1,0,0,41b31e8e306569027d682f70;bb533a0ca3d9a4ac8b7ee3f1
Luna,X11,N,2,2,0,2,1,1,1,0,0,d2ce3c65898ee309064ea309;034e7ebda7ce4bd4544e33f5
Luna,X11,C,2,2,0,2,0,2,0,0,0,6048690adc45fa68c0bd8e48;8bbc7e525f4ea007647837b6
Luna,X11,I,2,2,0,2,2,0,2,0,0,f4e8959458c2ee669240c3c3;ac791bce2a30acc3ef3e6aa5
Luna,X11,B,2,2,0,2,1,1,1,0,0,aeda47e032710cf852327775;d2af94077df6d94644e5d5a2
Luna,X20,N,2,2,0,2,2,0,2,0,0,a522949217d2369b4f488221;0bf1f43887298c8f8f54dbae
Luna,X20,C,2,2,0,1,2,0,1,1,1,515f2c81dbd5894ad961216b;b798dc07320ef4857ecc6556
Luna,X20,I,2,2,0,2,2,0,2,0,0,47d9a552e1db59df25f34b79;660873ed0132c8ebf161f15e
Luna,X20,B,2,2,0,1,2,0,1,1,1,e9ac397387c132ff72bec285;019a6605add7afbf33782843
Luna,X24,N,2,2,0,1,2,0,1,1,1,c8c3c5323d7fe52dc49acdbe;44f8e64b55856c97d1575883
Luna,X24,C,2,2,0,2,2,0,2,0,0,89b02f40e7e1c551b2e01fad;91cf30fff79a01f84a7e43dc
Luna,X24,I,2,2,0,1,2,0,1,1,1,e6d110e649584901537e831a;32b99c5b1b2143df8367ceca
Luna,X24,B,2,2,0,1,2,0,1,1,1,c792f4eda80f50db431d4f54;849d381fbec6fd6a471c4d38
Luna,X28,N,2,1,1,1,0,1,0,0,0,2dd18dbf7a9dab36b24bcdd5;a7270e70517078ba50d0bb24
Luna,X28,C,2,1,1,0,1,0,0,1,1,0927baeab33c5f8d6253e73c;2a35a90e9d76da6b9f6835e7
Luna,X28,I,2,1,1,0,1,0,0,1,1,fe1d6f4fccaf80229994d303;271683b7a282d9ec1a9a5014
Luna,X28,B,2,1,1,0,1,0,0,1,1,66a7ff9bb2ac359a7bbff365;7490c6b433d0df468a9a09bc
GPT55,F01,N,2,2,0,2,2,0,2,0,0,7120031c6885fa1df002f72c;319c0e13453ae02d668f60d4
GPT55,F01,C,2,2,0,2,1,1,1,0,0,ea2f98d7628c2ebfea01b894;79073b176698ed7cde2ac8a1
GPT55,F01,I,2,2,0,2,2,0,2,0,0,99dcdadfc4694bb6e17dfc57;fca9a3bc6ef123aaac891d53
GPT55,F01,B,2,2,0,2,2,0,2,0,0,dddd3fb81280fad928176982;7ac3d8c6821f5cd6e55499d2
GPT55,F02,N,2,2,0,2,0,2,0,0,0,845128d3d40f2c4200681eec;2779a73d8ce83a061e3a5493
GPT55,F02,C,2,2,0,2,0,2,0,0,0,9d67b5c0eef200a07c2cf08f;dd8e2180fbef3fa154019ede
GPT55,F02,I,2,2,0,2,0,2,0,0,0,9a9d27b7402d11faf3cc8ca4;724d3646232fd1cf766c20b7
GPT55,F02,B,2,2,0,2,0,2,0,0,0,b470995ae2293f0384257bc3;04864dab2f1ac0c62c52bbe2
GPT55,F04,N,2,2,0,2,0,2,0,0,0,89358c88942b0fde5139b340;6c89163b615d698f3f38b8a4
GPT55,F04,C,2,2,0,2,1,1,1,0,0,955dcca8de7ecd339b1005f6;0ad4cd114e31329348ff9f4b
GPT55,F04,I,2,2,0,2,1,1,1,0,0,34fc1b221f11e18bdd8ef2d1;92553a8b954eba93c23d53f6
