version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,Luna,I-N,F20,0.0,0.0,0.0,R0149;R0150;R0151;R0152,2f3aeb2fe45274cc64be4141;2f11f9fcbad2aa2d048c50f2;a767fb4bc8404685909eb93f;ffc60298bc7e5a4f3eb9aa3d
original,all13,Luna,I-N,X02,0.0,0.5,0.0,R0157;R0158;R0159;R0160,c64b5590ce163c7c052056a0;d95c0c35f37c939a24ac4a25;1393011d0876b090a0e676f2;898d2bb1c4c36e60fc0d93b5
original,all13,Luna,I-N,X05,-0.5,0.0,0.0,R0165;R0166;R0167;R0168,7d95a888a8d55c0131161129;1d7a958cfca5fd5aac80bfe3;5c8c00e9076e557fd70e5654;6e416f463d05143e8ffbcd6a
original,all13,Luna,I-N,X11,0.0,0.5,-0.5,R0181;R0182;R0183;R0184,ac791bce2a30acc3ef3e6aa5;f4e8959458c2ee669240c3c3;d2ce3c65898ee309064ea309;034e7ebda7ce4bd4544e33f5
original,all13,Luna,I-N,X20,0.0,0.0,0.0,R0189;R0190;R0191;R0192,660873ed0132c8ebf161f15e;47d9a552e1db59df25f34b79;0bf1f43887298c8f8f54dbae;a522949217d2369b4f488221
original,all13,Luna,I-N,X24,0.0,0.0,0.0,R0197;R0198;R0199;R0200,32b99c5b1b2143df8367ceca;e6d110e649584901537e831a;c8c3c5323d7fe52dc49acdbe;44f8e64b55856c97d1575883
original,all13,Luna,B-C,F01,0.0,0.0,0.0,R0105;R0106;R0107;R0108,28d21fb572e3d4b36cf757ae;644673d56fa8bd6003fd8595;1e1ac330571e4ab519d2d06d;85ce1c665275ecc6aee3d88c
original,all13,Luna,B-C,F02,0.0,0.0,0.0,R0113;R0114;R0115;R0116,79feb9e8ab2968a02d8f42f3;7c5f0c37ab2ff2cf419de8ec;15bdb1ce0e9363f3e77b2443;792bfc0139c3daf285c65304
original,all13,Luna,B-C,F04,0.0,1.0,-1.0,R0121;R0122;R0123;R0124,3d5303ef85b1febeb762ac7b;a56e7aa12e6f8153924d009e;1b8e40cefb62ff78b3a044da;d037c8bc1b9124615516345f
original,all13,Luna,B-C,F08,0.0,0.5,-0.5,R0129;R0130;R0131;R0132,0b1cc8aa4e0e8a9ac96c90ae;3076a16971bd5dce8c4b7c39;329d297691fa651a363f3aa3;6f77434722612eee739e2bd5
