model,family,condition,run_ids,same_U,same_F,same_S
QwenNext,X06,B,2f420e92287a453373030c16;3e4f5cdef9d0fd99fd7d3bbf,True,False,True
QwenNext,X11,N,ab449c4bfe5cc002764329c9;f0ab57741fe9d2396d7f4037,False,True,False
QwenNext,X11,C,1bf6bacf0e1d4f30d24931b3;eabeec11f9f9b17b85aab7ac,True,True,True
QwenNext,X11,I,782c237ce2c7a023d5e2033a;cab377ba001db070d155b17d,True,True,False
QwenNext,X11,B,3240c22dca80f7d07ac0de8d;464127a38a3db24832ccc658,True,True,True
QwenNext,X20,N,0b72e66630bfcb67d58225fa;44bd3a5f37dd86d56cbb8212,True,False,True
QwenNext,X20,C,4a3e9986b0f06596093677cb;aeaef17cd4cadbe71eedf423,True,False,True
QwenNext,X20,I,21c4b59ffc43fd8699ff2396;d842013ce29b69a43af2a2e9,True,True,True
QwenNext,X20,B,8a76b44f2a37bcd59adb9d73;aa0b1ea8c96a03721332196d,True,True,True
QwenNext,X24,N,1311387801d88a8baadc3736;88f658f45f857aacaa158a08,True,True,True
QwenNext,X24,C,137c1847236decde933a1430;d7d2d2fcffd90dd6d2de7f78,True,False,True
QwenNext,X24,I,2834504f8c616d1865b5e18f;5110181d9e619cfef7878bb7,True,False,True
QwenNext,X24,B,409b10bd29fe359f6b665a76;eb7edecc90078c8e6b4d0f63,True,False,True
QwenNext,X28,N,103550fde327e9aef5e3b646;2018c61597b2896c78999438,True,True,True
QwenNext,X28,C,2cb53c0f380d038c586f1602;727292db1ac85e25904429d2,True,True,True
QwenNext,X28,I,63f51fe9147221c520c77026;e82feb29bc3601894e0f9424,False,False,False
QwenNext,X28,B,000881b6de37aa30f3578194;d1f5a4e057f3c1fb3c501ddd,True,True,True
Devstral,F01,N,33fdd180369a00fad0a69ee7;42bcacfb778b9ef60a12a46a,True,True,True
Devstral,F01,C,442bea59b7b7357af1b3908f;addbb2f7de8e19eb1c032acc,True,True,True
Devstral,F01,I,21993d7ab928a905296cd22c;d73ba422fbbbb9656619419f,True,True,True
Devstral,F01,B,7e8114fb2c3730b5ef39a3b1;dd3eed33e2b17a403986a96a,True,True,True
Devstral,F02,N,05046d98dac8e25a71c32290;f2fa7d4f9b3a739ef660e3fc,True,True,True
Devstral,F02,C,35216375c7cf2d295cfee9b4;ba787db81bb684b48a9cb0ac,True,True,True
Devstral,F02,I,401f4b588b2b2df37ffe0143;91439f9d0a17bb5ae5b2f765,True,True,True
Devstral,F02,B,81169bc54fffe10589cbcdd6;878deac2a268f43cebee4c25,True,True,True
