version,scope,model,contrast,n,families,p_signflip_U,loo_min_U,loo_max_U,F,F_lo,F_hi,S,S_lo,S_hi,U,U_lo,U_hi
original,omitReviewed,GPT55,I-N,9,F01;F02;F04;F08;F17;F20;X11;X20;X24,1.0,-6.25,0.0,0.0,0.0,0.0,5.555555555555555,0.0,16.666666666666664,-5.555555555555555,-16.666666666666664,0.0
original,omitReviewed,GPT55,B-C,8,F01;F02;F04;F08;F17;X11;X20;X24,0.25,-28.57142857142857,-14.285714285714285,0.0,0.0,0.0,25.0,6.25,50.0,-25.0,-50.0,-6.25
original,omitReviewed,GPT55,C-I,9,F01;F02;F04;F08;F17;F20;X11;X20;X24,1.0,-6.25,18.75,0.0,0.0,0.0,-5.555555555555555,-38.88888888888889,27.77777777777778,5.555555555555555,-27.77777777777778,38.88888888888889
original,omitReviewed,Luna,C-N,9,F01;F02;F04;F08;F20;X02;X11;X20;X24,0.5,6.25,18.75,5.555555555555555,-11.11111111111111,22.22222222222222,-11.11111111111111,-38.88888888888889,11.11111111111111,16.666666666666664,0.0,38.88888888888889
original,omitReviewed,Luna,I-N,9,F01;F02;F04;F08;F20;X02;X11;X20;X24,1.0,-6.25,0.0,0.0,0.0,0.0,11.11111111111111,0.0,27.77777777777778,-5.555555555555555,-16.666666666666664,0.0
original,omitReviewed,Luna,B-C,9,F01;F02;F04;F08;F20;X02;X11;X20;X24,0.25,-25.0,-12.5,-11.11111111111111,-27.77777777777778,0.0,22.22222222222222,5.416666666666793,44.44444444444444,-22.22222222222222,-44.44444444444444,-5.416666666678793
original,omitReviewed,Luna,C-I,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,0.5,11.11111111111111,22.22222222222222,5.0,-10.0,20.0,-20.0,-50.0,0.0,20.0,0.0,50.0
original,omitReviewed,Terra,C-N,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,0.75,0.0,16.666666666666664,-5.0,-15.0,0.0,-10.0,-35.0,10.0,10.0,-10.0,35.0
original,omitReviewed,Terra,I-N,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,1.0,-5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0,-15.0,15.0,0.0,-15.0,15.0
original,omitReviewed,Terra,B-C,9,F01;F02;F04;F08;F17;F20;X11;X20;X24,0.25,-31.25,-18.75,0.0,0.0,0.0,27.77777777777778,0.0,55.55555555555556,-27.77777777777778,-55.55555555555556,0.0
original,omitReviewed,Terra,C-I,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,0.75,0.0,16.666666666666664,-5.0,-15.0,0.0,-10.0,-35.0,10.0,10.0,-10.0,35.0
original,omitReviewed,QwenNext,C-N,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,1.0,-5.555555555555555,11.11111111111111,-5.0,-30.0,15.0,-5.0,-30.0,15.0,5.0,-15.0,30.0
original,omitReviewed,QwenNext,I-N,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,1.0,0.0,11.11111111111111,-10.0,-35.0,10.0,-10.0,-25.0,0.0,5.0,-10.0,20.0
original,omitReviewed,QwenNext,B-C,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,1.0,-5.555555555555555,0.0,-5.0,-15.0,0.0,5.0,0.0,15.0,-5.0,-15.0,0.0
original,omitReviewed,QwenNext,C-I,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,1.0,-5.555555555555555,5.555555555555555,5.0,0.0,15.0,5.0,-10.0,20.0,0.0,-15.0,15.0
original,omitReviewed,Qwen30,C-N,10,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24,0.625,-16.666666666666664,-5.555555555555555,-15.0,-30.0,0.0,5.0,-10.0,20.0,-10.0,-30.0,10.0
