harness,model,family,condition,version,complete,F,S,U,run_ids
MiniSWE,Qwen30,X06,I,original,True,1,1,0,c4559fe2a7c8b7c123b0e7ed;031bf460ee242ec01a296905
MiniSWE,Qwen30,X06,B,original,True,1,1,0,8e39563e1f7abdebc6763b0e;cb2cfdb843ebf3f4b82e20cd
MiniSWE,Qwen30,X11,N,original,True,1,1,0,71d42e09a3c6a50631ae00f3;2bfb25d372387e2c066b1d99
MiniSWE,Qwen30,X11,C,original,True,0.5,0.5,0.5,7bf96b12e94a3a045f916cee;cf1ab093e26ea0b56098e112
MiniSWE,Qwen30,X11,I,original,True,1,1,0,eb82a77f5b20af5c8cc4c941;7505cde5d502dffe4ce8c482
MiniSWE,Qwen30,X11,B,original,True,0.5,0,0.5,5188f8cb3bbe2a9c6416c5f0;b6509aa9ac1db3d96670fcb6
MiniSWE,Qwen30,X20,N,original,True,1,1,0,301b536677aca25655ca5a32;dbe1381643af0539e188261b
MiniSWE,Qwen30,X20,C,original,True,1,1,0,7762777668a3b73874e19549;d2a88ab122e9880aef362985
MiniSWE,Qwen30,X20,I,original,True,1,0.5,0.5,a3e80b9a0c8d5d288fbc0f62;76c1cb23ddd41d77d6f3547a
MiniSWE,Qwen30,X20,B,original,True,1,1,0,4c97881fd502c4abcc8ad078;5b06d76d25dda36a303a7e58
MiniSWE,Qwen30,X24,N,original,True,1,1,0,06df9c0846aa58f37ec37079;a55c69d6f64a7d9cddabc8bb
MiniSWE,Qwen30,X24,C,original,True,1,1,0,198c83f4b73dff5de2be0773;c1058fe788167ddcedb220bf
MiniSWE,Qwen30,X24,I,original,True,1,1,0,8ef96f66674ea7567bfa5e62;42fdea981748ed176958b28c
MiniSWE,Qwen30,X24,B,original,True,1,1,0,6b6f7ad71146fd07733e9a77;ffcda063be7bfe9fb69166ef
MiniSWE,Qwen30,X28,N,original,True,1,0,1,342189c223b3d099a9a6bd97;bd991b67d7c1c61e2ddda838
MiniSWE,Qwen30,X28,C,original,True,0.5,0,0.5,fbc82777cc3a030a0b49506d;7b9974ddeb82392d8ce99f9d
MiniSWE,Qwen30,X28,I,original,True,0.5,0,0.5,9626d0047d38ef299d5fbaa1;11fc5253c06de4dec4bfe4d3
MiniSWE,Qwen30,X28,B,original,True,1,0,1,1bfaa673756aff9711d6e829;2d8ba319367da1c965042111
MiniSWE,Qwen30,F01,N,revised,True,1,0,1,3f51799fedde2844fb15ab4d;f00953226de6149658e7c52b
MiniSWE,Qwen30,F01,C,revised,True,1,0.5,0.5,74be189b34832a40cecd4245;2290bc6e34ce00daf09b031c
MiniSWE,Qwen30,F01,I,revised,True,1,0.5,0.5,6fefe0f5b9537eb0df4c9916;8c81ad64d4c883c19535e694
MiniSWE,Qwen30,F01,B,revised,True,1,1,0,81ae997f85820e5ea0fce4cc;779115323059064bf9fd928a
MiniSWE,Qwen30,F02,N,revised,True,1,0,1,ba53e69cd771509bedc6d063;4573c1251bdefc3f2f29c37a
MiniSWE,Qwen30,F02,C,revised,True,1,0,1,cd74a82221f8f7b4b10b3e52;fb717ed4c33829db1993ba3b
MiniSWE,Qwen30,F02,I,revised,True,1,0,1,144d467a2a0f421b26654467;90b7380027fc077ce9d237f2
MiniSWE,Qwen30,F02,B,revised,True,1,0,1,15fea8f3c1c9c69a3fbc5e60;934c5dbdffcfa4764b70b4e1
MiniSWE,Qwen30,F04,N,revised,True,1,0,1,05c318f93d64dbdda2dc5c91;73cd8aea5b60d2153fcddbae
MiniSWE,Qwen30,F04,C,revised,True,1,0,1,e006915791be668b4066b78a;5a8fc2252e5c39c91364970d
MiniSWE,Qwen30,F04,I,revised,True,1,0,1,3ca7393450e389c40c34bb63;736afe9c892f09623afe656f
MiniSWE,Qwen30,F04,B,revised,True,1,0,1,b8ee9175a37ea069bc6bb739;3bea2eba9a8a5f2656facca1
MiniSWE,Qwen30,F08,N,revised,True,1,0,1,30271a33e51fbb1042eaabfb;d0ffca0ce3d2aaf4d9b5d6ae
MiniSWE,Qwen30,F08,C,revised,True,0.5,0,0.5,c8bbb5a0dbd723741445c732;d946fabf476dac45c808a963
MiniSWE,Qwen30,F08,I,revised,True,1,0,1,4d9597559e1fe69786f398b4;5aae6911c91d9155936326c0
